FID IID FATHER_ID MOTHER_ID proband parental
21_124 21_124_1 NA NA -0.88794065 -1.6483158
21_125 21_125_0 NA NA -0.19151539 -0.5362435
21_125 21_125_1 NA NA 0.20304829 -0.5362435
21_126 21_126_0 NA NA -0.76778305 -1.8112473
21_126 21_126_1 NA NA -1.6849248 -1.8112473
21_127 21_127_0 NA NA -0.55208206 -1.7071781
21_127 21_127_1 NA NA -1.1736346 -1.7071781
21_128 21_128_0 NA NA -1.8006023 -2.4603941
21_128 21_128_1 NA NA -0.42764604 -2.4603941
21_129 21_129_0 NA NA -1.6126488 -2.5341709
21_129 21_129_1 NA NA -1.9022872 -2.5341709
21_130 21_130_0 NA NA -0.5673222 -0.24535212
21_130 21_130_1 NA NA -0.26559854 -0.24535212
21_131 21_131_0 NA NA -1.392041 -1.0604392
21_131 21_131_1 NA NA -0.5305056 -1.0604392
21_132 21_132_0 NA NA 0.048214283 -0.88427764
21_132 21_132_1 NA NA -0.91692 -0.88427764
21_133 21_133_0 NA NA -1.3934169 -0.9438655
21_133 21_133_1 NA NA 0.62514555 -0.9438655
21_134 21_134_0 NA NA -2.1473467 -3.840553
21_134 21_134_1 NA NA -2.295662 -3.840553
21_135 21_135_0 NA NA -1.1921715 -2.2355433
21_135 21_135_1 NA NA -1.5107447 -2.2355433
21_136 21_136_0 NA NA 0.1839946 -1.0867937
21_136 21_136_1 NA NA -0.23188916 -1.0867937
21_137 21_137_0 NA NA -3.3982246 -3.0383132
21_137 21_137_1 NA NA -1.6749715 -3.0383132
21_138 21_138_0 NA NA -2.6231182 -3.6746385
21_138 21_138_1 NA NA -2.1752896 -3.6746385
21_139 21_139_0 NA NA -1.8439535 -2.663856
21_139 21_139_1 NA NA -2.4837637 -2.663856
21_140 21_140_0 NA NA -0.9293961 -1.5481628
21_140 21_140_1 NA NA 0.38860324 -1.5481628
21_141 21_141_0 NA NA -1.6118454 -3.1848733
21_141 21_141_1 NA NA -2.66491 -3.1848733
21_142 21_142_0 NA NA -1.0467248 -2.698944
21_142 21_142_1 NA NA -2.1879296 -2.698944
21_143 21_143_0 NA NA -1.8454291 -3.5367732
21_143 21_143_1 NA NA -1.7149897 -3.5367732
21_144 21_144_0 NA NA 0.06456891 -0.03464094
21_144 21_144_1 NA NA -0.28689796 -0.03464094
21_145 21_145_0 NA NA -1.3336614 -1.9756315
21_145 21_145_1 NA NA -1.0698739 -1.9756315
21_146 21_146_0 NA NA 0.68367374 0.46195143
21_146 21_146_1 NA NA 0.47257075 0.46195143
21_147 21_147_0 NA NA -0.034284756 -0.5485068
21_147 21_147_1 NA NA -0.6153727 -0.5485068
21_148 21_148_0 NA NA -0.7284487 -0.9880582
21_148 21_148_1 NA NA -1.1991646 -0.9880582
